student_id,age,gender,parental_education,study_hours_week,attendance_rate,extracurricular,sleep_hours,previous_scores,tutoring,internet_quality,family_income,health_status,final_grade,study_efficiency,health_sleep_ratio
STD01416,0.13596538764133173,M,bachelor,-0.5998115917096325,0.976571515098142,Yes,-0.4010442702239046,-0.8503122592902246,No,Good,Medium,,-0.8999489351758314,-0.7149750690358635,
STD01345,-0.9485890286078494,M,bachelor,0.34146933420549164,-0.085068673106314,Yes,0.8894070626080348,-0.7550031128782316,No,Good,Medium,,0.8515736811399195,0.31616902048205603,
STD01705,1.220519803890513,M,master,-0.012127034561053782,0.003978500182037274,Yes,-0.31395859745610544,1.5573267460945464,No,Good,Medium,,1.0624548550368302,-0.050491987896557546,
STD00299,-0.22555275110839532,F,bachelor,-0.8166511767372003,0.855863124640599,Yes,-0.005200303097542595,-0.685687370033146,Yes,Poor,Low,,-0.7038428753736088,-0.8881300365381225,
STD01762,-0.9485890286078494,F,bachelor,-0.7747617114477838,-0.9141967977245196,Yes,0.8419057865528724,-0.35318841607312584,No,Poor,Medium,,-1.187392063927036,-0.6958817884263158,
STD00396,0.13596538764133173,M,bachelor,0.5583089192330595,-0.5857116695941565,Yes,-0.21895604534577845,-0.212390813419046,Yes,Good,Low,,0.8475441045686407,0.7010340809688542,
STD02045,-0.22555275110839532,F,bachelor,-0.9657283914436533,0.16921047728375618,No,0.0,-0.8427308499165433,No,Good,Medium,,-1.302906592303688,-0.9825840920835893,
STD00258,-0.9485890286078494,F,master,-0.036767896496004586,1.306046056265042,No,-1.5410748955478275,0.5717435275159852,No,Poor,High,,0.1262498983097768,-0.29472243703367745,
STD01805,1.220519803890513,M,bachelor,0.49670676439568223,-0.9151862107610567,Yes,0.07396849032772952,-1.2001401489615158,No,Excellent,Low,,-0.14238853977546095,0.7621839343680922,
STD01844,-1.3101071673575764,M,high_school,-0.38790017906905483,0.46603438824492754,Yes,-0.4564624256215955,-3.8568826051958127,No,Poor,Medium,,-1.8939111560912119,-0.47820293472289155,
STD00664,0.8590016651407858,F,high_school,-0.07003306010818823,0.8647678419694346,Yes,0.03438409361509347,0.48293273199571923,No,Excellent,Low,,0.8502304889494926,-0.2576486628227699,
STD02081,1.220519803890513,F,master,0.2724749207876291,0.3967754756873206,No,-0.04478469981017866,1.986217904948513,Yes,Poor,Low,,1.0624548550368302,0.13034808977738221,
STD00794,0.8590016651407858,M,master,0.4732979455574787,-1.1279100136165627,No,0.16105416309552942,-1.3885923248215923,Yes,Poor,Medium,,0.7279999996207098,0.8257463765921275,
STD01625,0.8590016651407858,M,bachelor,0.27863513627136666,-0.6896000384305663,Yes,0.8577395452379265,0.8522556743421906,No,Good,High,,1.0624548550368302,0.43397090248457154,
STD00882,1.220519803890513,M,bachelor,-0.24867930913658234,-2.950408826918155,Yes,0.8498226658953995,-0.9824453940886689,No,Poor,Low,,-1.7851125886666903,0.7356782765168234,
STD01715,0.13596538764133173,M,bachelor,-1.1554630283427751,-0.9735615799167533,Yes,-0.15562101060556047,-0.6705245512857834,No,Good,Low,,-2.4996908339734216,-1.1303762382410372,
STD00660,-1.3101071673575764,M,bachelor,-0.07003306010818823,-0.9696039277706044,Yes,0.3431423879736556,-0.5253947147038858,  No ,Good,Medium,,-0.553405350045875,0.12783906031080047,
STD00805,0.4974835263910588,F,high_school,-0.49755201467958626,0.6708428868081351,Yes,0.5727318889069456,0.5024277846708995,No,Good,High,,-0.510423199952236,-0.5990431077948135,
STD02311,-0.5870708898581224,M,master,-0.48276749751861575,0.0,Yes,-0.5435480983893954,-0.8513953177721788,No,Excellent,Medium,,0.23504846573429836,-0.505676977894178,
STD02267,-0.5870708898581224,M,master,0.4461929974290329,-2.0183817465000766,No,-0.9077245481456484,0.25224127533941915,No,Poor,Low,,0.1934095078310862,1.271704119439632,
STD01042,-1.3101071673575764,F,high_school,-0.23759092126585446,-0.882535580555328,No,-0.11603661389292441,-1.4611572431125408,No,Excellent,High,,-0.318346716721292,-0.08770734303542098,
STD02119,1.220519803890513,M,doctorate,0.13448609395190397,1.0834281230441636,No,0.6439838029896906,1.6916259978568993,Yes,Good,Low,,1.0624548550368302,-0.12265571930398265,
STD02283,0.8590016651407858,F,master,-1.2725071225337918,0.8578419507136731,No,0.0,1.4381903130795561,No,Excellent,Medium,,-1.0074043104099262,-1.2739175528769346,
STD02147,-0.5870708898581224,M,master,-0.11438661159109999,-0.7766683856458435,Yes,-1.0027271002559748,-0.1918127022619107,Yes,Excellent,High,,0.9294788281846381,0.024831595418319283,
STD00411,-0.22555275110839532,F,master,-0.19693349907318547,2.3607603532137387,Yes,-1.5569086542328816,-1.4135026699065447,No,Good,Low,,-0.3908790950043051,-0.5331977307402508,
STD02342,0.13596538764133173,F,doctorate,-0.2289666195886216,-0.09496280347168651,Yes,0.0818853696702566,-0.8134882709037725,Yes,Excellent,Medium,,1.0463365487517153,-0.2428412645178897,
STD01657,0.13596538764133173,M,bachelor,0.6285353757476695,0.5273779965102368,Yes,0.0,0.5814910538535757,No,Good,Medium,,0.887839870281426,0.4181268241131274,
